ubicacion,nombre,telefono,direccion
"Ecuador, LOS RIOS, Vinces",Hotel Azuay,05-2791131,Calle Balzar y Av Las Flores
"Ecuador, ESMERALDAS, Esmeraldas",Hotel Barracón,06-2712647,Av Olmedo 1502 y Rocafuerte
"Ecuador, ESMERALDAS, Atacames",Hotel Elicio's,06-2731258,"Barrio Nueva Granada, Calle Principal Atacames"
"Ecuador, ESMERALDAS, Atacames",Hotel El Marqués,06-2731560,Malecón y Los Crotos
"Ecuador, ESMERALDAS, Atacames",Hotel El Tiburon,06-2731145,Atacames - Frente al Mar
"Ecuador, ESMERALDAS, Esmeraldas",Hotel Club del Sol,06-2760660,Atacames
"Ecuador, ESMERALDAS, Atacames",Grand Hotel Paraiso - Salinas,06-2731782,Sector El Edén 300 mts Vía a Súa (Hotel frente al mar)
"Ecuador, ESMERALDAS, Tonsupa",Aqua Marina Hotel,06-2731025,Tonsupa - Atacames (Entrada a San Carlos frente Escuela Heleodoro Sáenz)
"Ecuador, GALAPAGOS, Isla San Cristóbal",Hospedaje Amaro Galapagos,052520356,Cuenca y Esmeraldas Esquina
"Ecuador, GALAPAGOS, Isla San Cristóbal",GRAN HOTEL PARAISO INSULAR,05-2520091,Isla San Cristóbal Av Alsacio Northia y Esmeraldas - Galapagos
"Ecuador, SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Hotel Caleta,02-2750277,Calle Ibarra 906 y Av 29 de Mayo
"Ecuador, SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Hotel Unicornio,02-2760147,Av 29 de Mayo 712 y Ambato
"Ecuador, SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Hostería Kasadasa Ecolodge,02-3782079,Calle Río Toachi y Av Quito (Santo Domingo de Los Tsáchilas)
"Ecuador, SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Club Hotel Ida María,02-2750921,Av Quito 1261 y Río Chimbo
"Ecuador, SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Grand Hotel Santo Domingo,02-2767947,Av Río Toachi 680 y Galápagos
"Ecuador, SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Kashama Eco Resort & Spa,02-2773193,Km 26 Vía Santo Domingo - Esmeraldas
"Ecuador, SANTO DOMINGO DE LOS TSACHILAS, Santo Domingo",Victoria Suites Hotel,02-3700622,Av Chone Km 1 Fte al Sindicato de Choferes
"Ecuador, IMBABURA, Ibarra",Hotel La Giralda,06-2956002,Av Atahualpa 15-142 y Juan Francisco Bonilla
"Ecuador, IMBABURA, Ibarra",Hotel Royal Ruiz,06-2644653,Calle Olmedo 940 y Pedro Moncayo
"Ecuador, IMBABURA, Ibarra",Hotel Montecarlo S.A.,06-2958182,Av Jaime Rivadeneira 5-55 y Oviedo
"Ecuador, IMBABURA, Ibarra",Hotel Turismo Internacional,06-2952814,Rafael Troya y Juan Hernandez
"Ecuador, IMBABURA, Ibarra",Hostal Ecuador,06-2956425,Obispo Mosquera 554 y Bolívar
"Ecuador, IMBABURA, Ibarra",Hostería Arco Iris,06-2941135,A 32 Kms. de Ibarra
"Ecuador, IMBABURA, Otavalo",Hostería Puerto Lago,06-2635400,A Orillas del Lago San Pablo
"Ecuador, IMBABURA, Otavalo",Hostería Cabañas del Lago,06-2918001,A Orillas del Lago San Pablo
"Ecuador, IMBABURA, Otavalo",Puertolago,06-2635400,Panamericana Sur Km 5 1/2
"Ecuador, IMBABURA, Ibarra",Hacienca Chorlavi,06-2932222,Panamericana Sur Km 4 1/2
"Ecuador, IMBABURA, Otavalo",Hacienda Pinsaquí,06-2932222,Panamericana Norte Km 5
"Ecuador, IMBABURA, Ibarra",San Andrés Lodge & Spa,06-2546528,Av. 13 de Abril y Esmeraldas
"Ecuador, IMBABURA, Ambuqui",Aruba Hostería,06-2637146,Panamericana Norte Km 36.5 Ambuquí
"Ecuador, PICHINCHA, Quito",Hotel Akros,02-2430600,Av 6 de Diciembre N34-120 y Eloy Alfaro
"Ecuador, PICHINCHA, Quito",Hotel Gold,02-2257391,Av 10 de Agosto N35-77 e Ignacio San Maria
"Ecuador, PICHINCHA, Quito",Hotel Quito,02-3964900,Av González Suárez N27-142
"Ecuador, PICHINCHA, Quito",Hotel Cayman,02-2567616,Juan Rodríguez E7-29 y Reina Victoria
"Ecuador, GALAPAGOS, Puerto Ayora",Hotel Solymar,05-2526281,"Av Charles Darwin y Thomas de Berlanga, Isla Santa Cruz"
"Ecuador, GALAPAGOS, Puerto Ayora",Hotel Fernandina,05-2526122,18 de Febrero y Piqueros - Isla Santa Cruz
"Ecuador, GALAPAGOS, Puerto Ayora",Hotel Lobo de Mar,05-2526277,Isla Santa Cruz - Puerto Ayora. Av. Charles Darwin y 12 de Febrero
"Ecuador, GALAPAGOS, Puerto Ayora",Hotel Angermeyer Waterfront Inn,05-2526561,Punta Estrada
"Ecuador, GALAPAGOS, Puerto Ayora",Hostal Darwin,05-2526193,Avenida Baltra y Tomas de Berlanga
"Ecuador, GALAPAGOS, Puerto Ayora",Hostería Piedras Blancas,05-3032682,Puerto Ayora
"Ecuador, GALAPAGOS, Puerto Ayora",Royal Palm,05-2527408,Km 18 Vía Baltra
"Ecuador, GALAPAGOS, Puerto Ayora",Finch Bay Eco Hotel,05-2526297,Puerto Ayora
"Ecuador, GALAPAGOS, Puerto Ayora",Compañia de Buceo Scuba Iguanacorp S.A.,05-2526497,Avenida Charles Darwin
"Ecuador, CARCHI, Tulcan",Hotel San Antonio,06-7364745,Carrera 21A No.16-09 Centro
"Ecuador, PICHINCHA, Quito",Hotel Akros,02-2430600,Av 6 de Diciembre N34-120 y Eloy Alfaro
"Ecuador, PICHINCHA, Quito",Hotel Gold,02-2257391,Av 10 de Agosto N35-77 e Ignacio San Maria
"Ecuador, PICHINCHA, Quito",Hotel Quito,02-3964900,Av González Suárez N27-142
"Ecuador, PICHINCHA, Quito",Hotel Cayman,02-2567616,Juan Rodríguez E7-29 y Reina Victoria
"Ecuador, CHIMBORAZO, Riobamba",Hotel Canadá,03-2946676,Av La Prensa 2331 y Av Daniel León Borja (Terminal Terrestre Riobamba)
"Ecuador, CHIMBORAZO, Riobamba",Hotel Imperial,03-2960429,Rocafuerte 22-15 y 10 de Agosto
"Ecuador, CHIMBORAZO, Riobamba",Hotel Whymper,03-2968137,Av Miguel Ángel León 2310 y Primera Constituyente ( Riobamba)
"Ecuador, CHIMBORAZO, Riobamba",Hotel El Galpón,03-2960981,Argentinos y Av Carlos Zambrano
"Ecuador, CHIMBORAZO, Riobamba",Hotel El Molino,03-2942232,Duchicela 4213 y Unidad Nacional
"Ecuador, CHIMBORAZO, Riobamba",Hotel Los Shyris,03-2960323,"Rocafuerte 2160 y 10 de Agosto, Esquina"
"Ecuador, CHIMBORAZO, Riobamba",Hotel Monterrey,03-2962421,Rey Cacha 4429 y Eplicachima
"Ecuador, CHIMBORAZO, Riobamba",Hotel Camino Real,03-2306047,"Av La Prensa y José María Banderas, Frente al Terminal Terrestre"
"Ecuador, CHIMBORAZO, Riobamba",Hotel El Libertador,03-2947393,Av Daniel León Borja 2922 y Carabobo
"Ecuador, CHIMBORAZO, Riobamba",Hotel Marquez De Rio,03-2601642,Av Lizarzaburu Km 1 1/2 Vía a Quito
"Ecuador, CHIMBORAZO, Riobamba",Hotel Metropolitano,03-2961714,Av Daniel León Borja y Lavalle
"Ecuador, COTOPAXI, Latacunga",Hotel Villa de Tacvnga,03-2812352,Sánchez de Orellana y Guayaquil (esquina)
"Ecuador, COTOPAXI, Salcedo",Hostería Rumipamba De Las Rosas,03-2726306,Av Norte y Eloy Yerovi (Salcedo)
"Ecuador, COTOPAXI, Lasso",Hacienda La Ciénega,03-2719052,Panamericana Norte Km 20
"Ecuador, COTOPAXI, Lasso",Hacienda San Agustín de Callo,03-2719160,Lasso - Parque Nacional Cotopaxi
"Ecuador, TUNGURAHUA, Ambato",Hotel Ambato,03-2421791,Guayaquil  y Rocafuerte s/n
"Ecuador, TUNGURAHUA, Banos  Tungurahua",Hotel Sangay,03-2740490,Plazoleta Isidro Ayora - 100
"Ecuador, TUNGURAHUA, Baños Tungurahua",Hotel Alisamay,03-2741391,Eugenio Espejo y Juan León Mera (Baños - Tungurahua)
"Ecuador, TUNGURAHUA, Baños Tungurahua",Hotel Danubio,03-2740426,Vicente Rocafuerte y Eloy Alfaro
"Ecuador, TUNGURAHUA, Ambato",Hotel Señorial,03-2826249,Av Cevallos  y Quito (Esq )
"Ecuador, TUNGURAHUA, Baños Tungurahua",Hotel Achupalla,03-2740389,"16 de Diciembre y Ambato, Frente al Parque de la Basílica"
"Ecuador, TUNGURAHUA, Ambato",Hotel El Jardín,03-2520881,México 03-99 y El Salvador a dos cuadras del Terminal Terrestre Ingahurco
"Ecuador, TUNGURAHUA, Ambato",Hotel Emperador,03-2424466,Av. Cevallos 10-14 y Lalama esq.
"Ecuador, TUNGURAHUA, Ambato",Hotel Guayaquil,03-2823886,Mera 07-86 y 12 de Noviembre
"Ecuador, TUNGURAHUA, Ambato",Hotel Miraflores,03-2460204,Av Miraflores 15-27 y Las Rosas
"Ecuador, TUNGURAHUA, Ambato",Hotel Tungurahua,03-2823585,Av Cevallos 06-55 y Ayllón
"Ecuador, TUNGURAHUA, Ambato",Hotel Vida Linda,03-2828000,Calle Soledad Eterna 01-203 y Rodrigo Pachano
"Ecuador, TUNGURAHUA, Baños Tungurahua",Hotel La Floresta,03-2740457,Montalvo y Thomas Halflants Esq.
"Ecuador, CAÑAR, Azogues",Hotel León,07-2249916,Luis Monsalve Pozo y Av Che Guevara
"Ecuador, CAÑAR, Azogues",Hostería Cabañas de San Luis,07-2868853,J. Marti  y  G. Mistral
"Ecuador, ORELLANA, Coca (Fco. de Orellana)",Hostal Santa María,06-2880287,Rocafuerte 04-10 y Quito
"Ecuador, NAPO, Tena",Hotel Brisas del Río,06-2886208,Francisco de Orellana 248 y 9 de Octubre (Tena)
"Ecuador, NAPO, Tena",Hotel Clark's Marena In,06-2890002,"Puerto Misauhalli, Calle Juana Arteaga y Antonio Santander"
"Ecuador, NAPO, Misahualli",Hotel y Cabaña Albergue Español,06-2890004,Misahualli - A Orilla del Río Napo (Tena)
"Ecuador, NAPO, Tena",HOSTAL AND AGENCY LIMONCOCHA,06-2846303,AV. DEL CHOFER
"Ecuador, NAPO, Chaco",Hostal Restaurante Manabí,06-2329125,"Barrio San José, Calle 13 de Junio y Julian Alvarado"
"Ecuador, NAPO, Tena",Hostería El Establo de Tomás,06-2888926,Barrio Lupi Muyona vía al Calvario a 4.5 Km de Tena
"Ecuador, NAPO, Misahualli",Hostal y Restaurante La Posada,06-2890049,Juana de Arteaga y Napo (Misahualli)
"Ecuador, NAPO, Tena",Hostal Loren's,06-2870232,Av 15 de Noviembre y Río Pano Esq. Entrada del Parque Amazónico
"Ecuador, NAPO, Tena",Hostal Los Anturios,06-2886759,Calle Misahuallí y 12 de Febrero (Tena)
"Ecuador, NAPO, Baeza",Hostal La Casa de Gina,06-2320471,Batallón Chimborazo y Jumandi (Baeza)
"Ecuador, NAPO, Misahualli",CASA DE HUESPEDES VILLA DULCE DANIELA,062890164,Pto Misahualli
"Ecuador, NAPO, Tena",Cabañas Suchipakari Jungle Lodge,02-2959042,Sector Pusuno Bajo a 25 min de Puerto Misahuallí
"Ecuador, NAPO, Ahuano",Cabañas Cotococha Amazon Lodge,02-2234336,Km 10 Vía Ahuano a 20 min del Tena
"Ecuador, PASTAZA, Puyo",Hotel Posada Real,03-2885887,4 de Enero y 27 de Febrero Esq.
"Ecuador, PASTAZA, Puyo",Hosteria Lizanes,03-2792456,Vía Shell El Puyo Kim 6 (Santa Rosa)
"Ecuador, PASTAZA, Puyo",Hostal Kanoas,03-2887109,9 de Octubre y Lucindo Ortega
"Ecuador, PASTAZA, Puyo",Hostería Safari,03-2533006,"Km 5 Vía Tena, Puyo - Pastaza"
